"","Janus.Tissue.ID","Neutron","Gamma","Total.dose","X..Fractions","Gender","JM.exp.series","DISEASE","Janus.Tissue.ID.1","HTG.Sample.label","Array","Element","let.7b","miR.143","miR.145","miR.16","miR.17","miR.214","miR.23a","miR.24","miR.27a","miR.34a","miR.574.5p","miR.720","miR.1195","miR.466f.3p","miR.467b","miR.503","miR.669i","miR.690","miR.701","miR.703","miR.706","miR.709","miR.712","miR.714","miR.872","miR.881","miR.92a","miR.155","miR.15a","miR.21","miR.19a","miR.20a","GUSB","GAPDH","miR.699","miR.685","miR.923","miR.1826","miR.1308","Quality","ElementCol","ElementRow","dose_rate","age","first_irrad"
"20","B1293","N","",18.84,1,"F",3,"TRUE"," B 1293","44-B1293","102011","D6",525,NA,NA,NA,NA,125,64,3286,NA,NA,13463,34975,520,321,NA,NA,NA,292,NA,NA,NA,1561,1078,4584,78,NA,332,NA,NA,NA,111,NA,NA,101,316,448,35060,13520,29640,"N","6","D",0.942,789,109
"21","B1293","N","",18.84,1,"F",3,"TRUE"," B 1293","","4022012","D6",1761,NA,NA,113,1209,554,183,10151,147,NA,28708,28072,1064,1661,NA,NA,NA,1559,NA,NA,NA,4761,2558,10244,200,NA,1018,NA,NA,NA,241,NA,199,430,593,1501,31136,29159,30311,"N","6","D",0.942,789,109
"22","B1309","N","",37.68,1,"M",3,"FALSE"," B 1309","55-B 1309","100711","G7",2189,NA,NA,62,158,1047,193,11698,147,NA,29228,32597,1189,1192,52,NA,NA,1376,NA,NA,135,4511,1995,8245,94,NA,1052,63,66,140,116,60,148,711,398,1672,29110,29047,31561,"N","7","G",1.884,808,116
"23","B1309","N","",37.68,1,"M",3,"FALSE"," B 1309","  85-M b1309","120810","E11",143,7,4,NA,NA,31,NA,NA,1,NA,1479,5028,78,11,NA,NA,NA,248,NA,NA,7,555,195,377,NA,NA,21,3,NA,1,NA,NA,9565,19276,19,123,14391,5622,2697,"N","11","E",1.884,808,116
"24","B1309","N","",37.68,1,"M",3,"FALSE","b 1309","54-b1309","72612B","F7",248,NA,NA,89,123,191,119,NA,NA,NA,11055,357,1461,1250,178,NA,166,404,NA,78,77,2420,846,5316,419,NA,1943,NA,NA,NA,261,85,NA,119,195,685,35176,33718,19609,"N","7","F",1.884,808,116
"25","B1309","N","",37.68,1,"M",3,"FALSE","b 1309","54-b1309","72612A","F7",318,NA,NA,NA,83,198,3801,NA,NA,149,19799,231,2093,2081,86,NA,144,807,NA,NA,NA,3496,945,7836,271,NA,1734,NA,83,217,754,NA,94,107,262,997,32584,33002,20612,"N","7","F",1.884,808,116
"26","B1317","","G ",197.55,1,"M",3,"TRUE","  B 1317","","4022012","E6",2195,89,76,185,381,528,295,10714,221,NA,33684,29664,1128,1803,NA,NA,249,2096,NA,NA,NA,8064,3119,15734,4294,NA,1750,NA,97,NA,224,NA,217,358,816,3443,35215,34662,33439,"control","6","E",9.8775,804,109
"27","B1317","","G ",197.55,1,"M",3,"TRUE"," B 1317","45-B1317","102011","E6",924,NA,NA,NA,138,103,78,3509,NA,NA,19509,34293,652,550,NA,NA,59,544,NA,NA,NA,2149,943,4970,68,NA,563,NA,NA,NA,116,NA,100,116,244,1119,32353,25273,35998,"control","6","E",9.8775,804,109
"28","B1374","","G",545.7,1,"M",3,"FALSE"," B 1374","  90-M b1374","120810","B12",356,NA,12,NA,NA,NA,8,NA,NA,NA,1290,5520,NA,NA,NA,NA,NA,278,NA,NA,1,1323,573,649,NA,NA,33,NA,NA,NA,NA,NA,6168,12866,88,417,12948,13255,2443,"G","12","B",27.285,858,116
"29","B1426","N","",18.84,1,"M",3,"FALSE"," B 1426","17-B1426","102011","A3",388,NA,NA,NA,NA,65,NA,2345,NA,NA,NA,NA,102,167,NA,NA,NA,NA,NA,NA,NA,63,NA,450,NA,NA,127,NA,NA,NA,NA,NA,NA,134,NA,NA,729,NA,72,"N","3","A",0.942,726,109
"30","B1426","N","",18.84,1,"M",3,"FALSE"," B 1426","","4022012","A3",2551,117,NA,NA,NA,320,NA,9010,NA,NA,100,NA,498,1272,NA,NA,NA,NA,NA,NA,NA,199,NA,1382,153,NA,549,NA,NA,NA,118,NA,235,280,155,NA,1467,NA,1408,"N","3","A",0.942,726,109
"31","B1459","","G",545.7,1,"M",3,"FALSE"," B 1459","52-B 1459","100711","D7",2060,NA,54,53,199,871,2514,12880,151,NA,14234,26011,1609,2020,151,NA,92,1330,NA,NA,129,2293,574,2539,198,NA,1694,246,NA,NA,123,77,227,974,662,606,37875,14741,17522,"G","7","D",27.285,901,109
"32","B1459","","G",545.7,1,"M",3,"FALSE"," B 1459","  91-M b1459","120810","C12",851,14,18,4,NA,NA,6,NA,6,4,2802,6071,60,NA,NA,NA,NA,155,NA,NA,NA,549,251,297,NA,NA,21,NA,NA,NA,NA,NA,5059,13952,15,108,13396,5485,2997,"G","12","C",27.285,901,109
"33","B1459","","G",545.7,1,"M",3,"FALSE","b 1459","51-b1459","72612B","C7",465,110,142,158,82,365,190,183,107,91,17224,469,1951,1161,130,NA,NA,566,NA,NA,NA,3465,559,4020,248,NA,2158,NA,NA,NA,386,NA,NA,122,208,525,41326,21451,21113,"G","7","C",27.285,901,109
"34","B1459","","G",545.7,1,"M",3,"FALSE","b 1459","51-b1459","72612A","C7",476,78,158,122,NA,85,99,NA,583,217,22316,307,2136,1979,NA,127,NA,1478,99,NA,119,3183,600,5924,876,306,2008,413,236,552,4184,281,304,NA,348,468,33354,23377,17848,"G","7","C",27.285,901,109
"35","B1466","","G",545.7,1,"F",3,"FALSE"," B 1466","13-B 1466","100711","E2",2260,81,108,171,539,427,204,10467,180,NA,9638,27569,720,1412,NA,NA,168,956,NA,NA,265,13180,1201,4669,55,NA,945,63,55,NA,171,64,114,522,599,1735,33015,26576,18757,"G","2","E",27.285,813,110
"36","B1466","","G",545.7,1,"F",3,"FALSE","B 1466","13-B1466","72612B","E2",293,NA,NA,81,488,132,NA,NA,82,NA,4935,1917,1224,1020,129,NA,226,626,NA,NA,179,3662,1013,5714,215,NA,NA,76,NA,79,345,NA,NA,92,505,1719,35807,34162,13244,"G","2","E",27.285,813,110
"37","B1466","","G",545.7,1,"F",3,"FALSE","B 1466","13-B1466","72612A","E2",206,NA,NA,NA,379,81,NA,NA,NA,NA,4292,1255,1634,1858,NA,NA,185,757,93,NA,506,2296,1631,6528,464,NA,1193,1036,2334,1588,1153,NA,374,86,407,1575,31233,27211,6852,"G","2","E",27.285,813,110
"38","B1498","","G",545.7,1,"M",3,"FALSE"," B 1498","51-B 1498","100711","C7",3428,216,243,196,1252,879,217,13548,256,92,26879,27398,1544,2084,78,NA,109,4445,NA,NA,205,12410,1688,6454,139,NA,2117,148,120,107,56,142,341,492,930,3272,35048,29158,33439,"G","7","C",27.285,838,117
"39","B1498","","G",545.7,1,"M",3,"FALSE"," B 1498","  89-M b1498","120810","A12",292,28,33,NA,NA,69,18,11,18,8,5191,6895,172,23,NA,8,NA,681,NA,NA,NA,1438,392,510,NA,NA,44,NA,4,3,NA,NA,5202,14397,86,383,9953,11557,4229,"G","12","A",27.285,838,117
"40","B1498","","G",545.7,1,"M",3,"FALSE","b 1498","50-b1498","72612B","B7",1270,214,233,347,244,544,273,122,244,118,37856,1505,2916,1277,403,105,1812,4054,6018,514,434,12375,1486,7014,1792,1505,2565,171,112,195,136,145,NA,236,3014,8986,41725,39479,37260,"G","7","B",27.285,838,117
"41","B1498","","G",545.7,1,"M",3,"FALSE","b 1498","50-b1498","72612A","B7",1403,213,289,351,239,353,253,134,270,125,27139,1187,2900,2129,138,115,NA,4210,NA,89,180,12179,1356,8366,544,90,1609,NA,156,275,112,87,NA,182,758,2259,30121,26159,31608,"G","7","B",27.285,838,117
"42","B15","","G",399,1,"M",3,"FALSE"," B 15","38-B15","102011","F5",13339,7559,5052,10798,1316,861,5186,4387,4043,NA,27724,29247,20965,2012,NA,NA,NA,24609,NA,NA,6058,30976,13923,19350,NA,NA,5156,NA,2423,723,363,88,163,520,9557,20748,26123,30800,30387,"G","5","F",19.995,364,117
"43","B1500","","G",197.55,1,"M",3,"FALSE"," B 1500","  93-M b1500","120810","E12",430,2,NA,4,15,23,2,NA,NA,NA,370,1497,NA,6,NA,NA,NA,16,NA,NA,NA,74,16,50,NA,NA,1,NA,NA,NA,NA,NA,5894,15559,NA,NA,15138,1110,355,"G","12","E",9.8775,831,110
"44","B1534","control","control",0,0,"F",3,"FALSE","B 1534","25-B1534","102011","A4",248,NA,NA,NA,NA,67,NA,2755,NA,NA,NA,NA,126,145,NA,NA,NA,NA,NA,NA,NA,67,NA,250,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,177,NA,1057,NA,75,"control","4","A",0,854,117
"45","B1534","control","control",0,0,"F",3,"FALSE"," B 1534","","4022012","A4",826,NA,NA,NA,NA,310,NA,8478,NA,NA,76,105,509,1339,NA,NA,NA,NA,NA,NA,NA,216,NA,1541,109,NA,558,NA,NA,NA,NA,NA,NA,222,160,NA,1578,NA,96,"control","4","A",0,854,117
"46","B1554","","G",545.7,1,"F",3,"FALSE"," B 1554","1-B 1554","100711","A1",1350,NA,NA,NA,343,294,122,7278,91,NA,22546,23138,702,831,NA,NA,NA,857,NA,NA,155,8998,1384,4200,NA,NA,659,59,NA,109,113,77,219,2153,299,1214,27178,24973,23624,"G","1","A",27.285,863,117
